,event_id,division,round,team1,team2,score1,score2,match_link
33,7349,Semi-Pro X-Ball™,Prelims,Royal City Seadogs,TCP Machine,6,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2027
34,7349,Semi-Pro X-Ball™,Prelims,Wolfpack,PLUMLIFE (In Progress: 0:5 Remaining),7,4*,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2039
35,7349,Semi-Pro X-Ball™,Prelims,Blast Camp,HUNTERS ,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2040
36,7349,Semi-Pro X-Ball™,Prelims,HUNTERS ,Utah Bro Army,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2042
37,7349,Semi-Pro X-Ball™,Prelims,New Jersey Jesters,Utah Bro Army,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2038
38,7349,Semi-Pro X-Ball™,Prelims,PLUMLIFE,Utah Bro Army,7,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2240
39,7349,Semi-Pro X-Ball™,Prelims,Brawl,Annapolis A-Team,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2012
40,7349,Semi-Pro X-Ball™,Prelims,Brooklyn Bears,Droogs Frankfurt,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2011
41,7349,Semi-Pro X-Ball™,Prelims,Annapolis A-Team,Droogs Frankfurt,8,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2210
42,7349,Semi-Pro X-Ball™,Prelims,Noobies,Brooklyn Bears,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2212
43,7349,Semi-Pro X-Ball™,Prelims,Sacramento XSV,Droogs Frankfurt,6,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2015
44,7349,Semi-Pro X-Ball™,Ocho-Finals,Annapolis A-Team,Blast Camp,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=502
45,7349,Semi-Pro X-Ball™,Ocho-Finals,Brooklyn Bears,Jits Krew,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=503
46,7349,Semi-Pro X-Ball™,Ocho-Finals,Carolina Crisis,Struggle Paintball,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=501
47,7349,Semi-Pro X-Ball™,Ocho-Finals,Hurricanes,HUNTERS ,8,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=500
